task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	42/2867b5	31081	NFCORE_BACTMAP:BACTMAP:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2025-04-17 16:55:37.161	1.8s	0ms	51.1%	4.4 MB	29.9 MB	641.8 KB	3.4 KB
1	18/7428ea	31063	NFCORE_BACTMAP:BACTMAP:BWA_INDEX (D0287766_Reference.fasta)	COMPLETED	0	2025-04-17 16:55:37.149	2.4s	1s	89.4%	5.3 MB	23.3 MB	6.5 MB	4.4 MB
7	95/6a2b47	31159	NFCORE_BACTMAP:BACTMAP:FASTP (D0287766_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.086	46s	44s	192.0%	915.1 MB	1.2 GB	129.6 MB	48.8 MB
6	94/009231	31149	NFCORE_BACTMAP:BACTMAP:FASTP (D0281446_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.077	50.2s	48s	193.7%	967.9 MB	1.3 GB	142.1 MB	44.6 MB
9	cd/70baec	31138	NFCORE_BACTMAP:BACTMAP:FASTP (D0320058_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.068	54.7s	53s	190.8%	917.5 MB	1.2 GB	124.5 MB	55.3 MB
5	8b/c24d9f	31236	NFCORE_BACTMAP:BACTMAP:FASTP (D0262590_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.122	58.5s	57s	190.0%	950.6 MB	1.2 GB	131.2 MB	46.7 MB
13	7c/5a642b	31186	NFCORE_BACTMAP:BACTMAP:FASTP (D0465287_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.103	1m	57s	191.6%	1023.7 MB	1.4 GB	122.4 MB	71.2 MB
10	a8/950a33	31212	NFCORE_BACTMAP:BACTMAP:FASTP (D0331520_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.111	1m 9s	1m 7s	200.5%	1 GB	1.4 GB	163.2 MB	74 MB
11	ea/5e58b0	31577	NFCORE_BACTMAP:BACTMAP:FASTP (D0340971_S01_L001)	COMPLETED	0	2025-04-17 16:56:39.412	18.8s	18s	184.7%	698.7 MB	1007.2 MB	47 MB	19.3 MB
4	ca/b2e2dd	31439	NFCORE_BACTMAP:BACTMAP:FASTP (D0133463_S01_L001)	COMPLETED	0	2025-04-17 16:56:29.272	44.4s	43s	190.9%	932 MB	1.3 GB	118.1 MB	49.7 MB
16	fe/e356d5	31170	NFCORE_BACTMAP:BACTMAP:FASTP (D0595886_S01_L001)	COMPLETED	0	2025-04-17 16:55:39.096	1m 47s	1m 45s	195.7%	1.1 GB	1.4 GB	232.4 MB	109.7 MB
8	c5/ca4eef	31485	NFCORE_BACTMAP:BACTMAP:FASTP (D0305916_S01_L001)	COMPLETED	0	2025-04-17 16:56:33.751	1m 3s	1m 1s	201.8%	1.1 GB	1.4 GB	149.4 MB	79.4 MB
18	2a/3dd310	31390	NFCORE_BACTMAP:BACTMAP:FASTP (D0717665_S01_L001)	COMPLETED	0	2025-04-17 16:56:25.124	1m 17s	1m 15s	187.1%	1.1 GB	1.4 GB	177.7 MB	39.1 MB
12	06/d46b08	31534	NFCORE_BACTMAP:BACTMAP:FASTP (D0372208_S01_L001)	COMPLETED	0	2025-04-17 16:56:37.649	1m 19s	1m 17s	196.4%	1.1 GB	1.4 GB	178.3 MB	87.4 MB
14	6d/c73c95	31703	NFCORE_BACTMAP:BACTMAP:FASTP (D0537729_S01_L001)	COMPLETED	0	2025-04-17 16:57:13.686	1m 3s	1m	190.9%	999.2 MB	1.3 GB	149.5 MB	49 MB
20	f0/c972d5	31828	NFCORE_BACTMAP:BACTMAP:FASTP (D0784258_S01_L001)	COMPLETED	0	2025-04-17 16:57:42.236	44.9s	42s	164.7%	791.4 MB	1.2 GB	88.2 MB	36.4 MB
19	39/67a1e1	31787	NFCORE_BACTMAP:BACTMAP:FASTP (D0717763_S01_L001)	COMPLETED	0	2025-04-17 16:57:36.718	53.8s	52s	188.8%	919 MB	1.3 GB	104.6 MB	48.4 MB
3	29/8ba933	31619	NFCORE_BACTMAP:BACTMAP:FASTP (D0110039_S01_L001)	COMPLETED	0	2025-04-17 16:56:48.026	1m 43s	1m 41s	215.8%	1.1 GB	1.4 GB	237.8 MB	195.4 MB
15	58/4558fa	31661	NFCORE_BACTMAP:BACTMAP:FASTP (D0570846_S01_L001)	COMPLETED	0	2025-04-17 16:56:58.204	1m 41s	1m 40s	217.1%	1 GB	1.4 GB	219.5 MB	179.6 MB
17	ff/d02c7c	31746	NFCORE_BACTMAP:BACTMAP:FASTP (D0599005_S01_L001)	COMPLETED	0	2025-04-17 16:57:26.453	1m 14s	1m 12s	194.1%	1.1 GB	1.5 GB	161.9 MB	79.3 MB
24	03/a21621	31948	NFCORE_BACTMAP:BACTMAP:FASTP (D1130644_S01_L001)	COMPLETED	0	2025-04-17 16:58:27.121	31s	29s	203.8%	835.1 MB	1.1 GB	93.6 MB	34.7 MB
25	c3/2205af	32118	NFCORE_BACTMAP:BACTMAP:FASTP (D1130645_S01_L001)	COMPLETED	0	2025-04-17 16:58:40.530	26.5s	26s	203.1%	858.7 MB	1.2 GB	82.9 MB	29 MB
26	9c/6793f6	31989	NFCORE_BACTMAP:BACTMAP:FASTP (D1212247_S01_L001)	COMPLETED	0	2025-04-17 16:58:30.516	50.9s	49s	185.5%	879.9 MB	1.2 GB	109.9 MB	51 MB
27	80/647698	32032	NFCORE_BACTMAP:BACTMAP:FASTP (D1251843_S01_L001)	COMPLETED	0	2025-04-17 16:58:31.366	58.5s	56s	206.0%	1.1 GB	1.4 GB	100.7 MB	44.1 MB
22	15/21133e	31907	NFCORE_BACTMAP:BACTMAP:FASTP (D1025689_S01_L001)	COMPLETED	0	2025-04-17 16:58:16.445	1m 32s	1m 30s	199.6%	1.1 GB	1.5 GB	199.2 MB	107.8 MB
32	85/aee9de	32160	NFCORE_BACTMAP:BACTMAP:FASTP (D1816817_S01_L001)	COMPLETED	0	2025-04-17 16:58:58.130	1m 6s	1m 4s	187.4%	1 GB	1.4 GB	136.9 MB	63.4 MB
21	91/25d858	31868	NFCORE_BACTMAP:BACTMAP:FASTP (D0892467_S01_L001)	COMPLETED	0	2025-04-17 16:57:56.201	2m 9s	2m 7s	202.3%	1.1 GB	1.4 GB	262.6 MB	153.3 MB
30	2c/01459f	32073	NFCORE_BACTMAP:BACTMAP:FASTP (D1742262_S01_L001)	COMPLETED	0	2025-04-17 16:58:39.529	1m 29s	1m 27s	196.7%	1.1 GB	1.4 GB	193.9 MB	95.6 MB
28	96/757047	32202	NFCORE_BACTMAP:BACTMAP:FASTP (D1490961_S01_L001)	COMPLETED	0	2025-04-17 16:59:07.080	1m 18s	1m 16s	195.4%	1.1 GB	1.5 GB	170.4 MB	86.1 MB
29	2c/6fa69e	32287	NFCORE_BACTMAP:BACTMAP:FASTP (D1507169_S01_L001)	COMPLETED	0	2025-04-17 16:59:29.912	1m 17s	1m 15s	206.3%	1.1 GB	1.4 GB	161.2 MB	101.1 MB
37	1d/7e5c2a	32532	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0287766_S01_L001)	COMPLETED	0	2025-04-17 17:00:46.885	3.8s	3s	106.3%	18.6 MB	2 GB	48.3 MB	12.4 KB
38	b2/b1812d	32573	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0281446_S01_L001)	COMPLETED	0	2025-04-17 17:00:50.646	3.7s	3s	113.6%	14.9 MB	2 GB	44.1 MB	12.3 KB
34	cf/b016e3	32368	NFCORE_BACTMAP:BACTMAP:FASTP (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:00:04.267	53.6s	52s	204.7%	1.1 GB	1.4 GB	106.8 MB	37.3 MB
39	2b/e11364	32645	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0320058_S01_L001)	COMPLETED	0	2025-04-17 17:00:54.346	4.6s	4s	106.0%	16.6 MB	2 GB	54.7 MB	12.3 KB
31	3b/108947	32244	NFCORE_BACTMAP:BACTMAP:FASTP (D1786215_S01_L001)	COMPLETED	0	2025-04-17 16:59:21.391	1m 39s	1m 37s	206.3%	1.3 GB	1.7 GB	187.2 MB	106.7 MB
23	e1/b174da	32407	NFCORE_BACTMAP:BACTMAP:FASTP (D1088210_S01_L001)	COMPLETED	0	2025-04-17 17:00:05.189	55.5s	53s	181.3%	887 MB	1.2 GB	119.6 MB	48 MB
40	d1/12a1d0	32683	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0262590_S01_L001)	COMPLETED	0	2025-04-17 17:00:57.901	3.8s	3s	118.2%	16.7 MB	2 GB	46.1 MB	12.3 KB
43	74/f4504e	32806	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0340971_S01_L001)	COMPLETED	0	2025-04-17 17:01:00.732	2.1s	1s	146.4%	18.6 MB	2 GB	18.7 MB	12.3 KB
41	c1/6b3862	32723	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0465287_S01_L001)	COMPLETED	0	2025-04-17 17:00:58.958	5.1s	4s	117.5%	18.8 MB	2 GB	70.7 MB	12.3 KB
36	27/930bf7	32489	NFCORE_BACTMAP:BACTMAP:FASTP (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:00:25.299	38.9s	37s	194.0%	913.9 MB	1.3 GB	118.2 MB	43.3 MB
44	29/a81200	32845	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0133463_S01_L001)	COMPLETED	0	2025-04-17 17:01:01.754	3.8s	2s	122.9%	18.8 MB	2 GB	49.2 MB	12.3 KB
42	68/1bd051	32765	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0331520_S01_L001)	COMPLETED	0	2025-04-17 17:00:59.956	5.8s	5s	116.2%	18.7 MB	2 GB	73.4 MB	12.3 KB
47	c8/66f9b5	32970	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0717665_S01_L001)	COMPLETED	0	2025-04-17 17:01:04.174	3.3s	2s	128.2%	20.7 MB	2 GB	38.5 MB	12.3 KB
46	a6/e88809	32926	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0305916_S01_L001)	COMPLETED	0	2025-04-17 17:01:04.025	5.5s	4s	116.1%	30.4 MB	2 GB	78.8 MB	12.3 KB
49	83/a19f6c	33051	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0537729_S01_L001)	COMPLETED	0	2025-04-17 17:01:05.778	3.9s	2s	124.5%	22.7 MB	2 GB	48.4 MB	12.3 KB
45	88/c6de41	32886	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0595886_S01_L001)	COMPLETED	0	2025-04-17 17:01:02.855	7.1s	6s	113.2%	22.6 MB	2 GB	109.2 MB	12.3 KB
50	3c/fc91e8	33091	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0784258_S01_L001)	COMPLETED	0	2025-04-17 17:01:07.434	2.9s	2s	132.9%	22.7 MB	2 GB	35.8 MB	12.3 KB
65	df/1f1596	32606	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0287766_S01_L001)	COMPLETED	0	2025-04-17 17:00:51.655	19.7s	18s	98.3%	11.2 MB	16.9 MB	96.5 MB	43.5 MB
48	ec/282557	33009	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:01:05.583	5.9s	5s	116.2%	20.6 MB	2 GB	86.9 MB	12.3 KB
51	0e/664633	33133	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0717763_S01_L001)	COMPLETED	0	2025-04-17 17:01:09.534	4.7s	3s	122.6%	18.6 MB	2 GB	47.7 MB	12.3 KB
55	6e/880e7e	33334	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1130644_S01_L001)	COMPLETED	0	2025-04-17 17:01:11.504	3s	2s	138.6%	22.8 MB	2 GB	34.1 MB	12.3 KB
35	5d/18a80d	32447	NFCORE_BACTMAP:BACTMAP:FASTP (D2306204_S01_L001)	COMPLETED	0	2025-04-17 17:00:08.139	1m 8s	1m 6s	205.2%	1.2 GB	1.5 GB	128.1 MB	50.4 MB
54	dc/2084c0	33255	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0599005_S01_L001)	COMPLETED	0	2025-04-17 17:01:10.320	5.9s	4s	119.9%	20.7 MB	2 GB	78.7 MB	12.3 KB
56	7d/a362e3	33374	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1130645_S01_L001)	COMPLETED	0	2025-04-17 17:01:14.273	2.3s	2s	156.9%	24.5 MB	2 GB	28.5 MB	12.3 KB
57	ca/a99fbf	33416	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1212247_S01_L001)	COMPLETED	0	2025-04-17 17:01:14.463	3.4s	3s	131.1%	24.6 MB	2 GB	50.4 MB	12.3 KB
53	b6/b50cb6	33215	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0570846_S01_L001)	COMPLETED	0	2025-04-17 17:01:09.979	10.5s	9s	108.9%	22.6 MB	2 GB	179.2 MB	12.3 KB
52	65/23b8c3	33175	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0110039_S01_L001)	COMPLETED	0	2025-04-17 17:01:09.691	10.9s	9s	108.7%	22.6 MB	2 GB	195 MB	12.4 KB
58	f4/7fba61	33454	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1251843_S01_L001)	COMPLETED	0	2025-04-17 17:01:16.058	4.8s	3s	122.8%	22.7 MB	2 GB	43.6 MB	12.3 KB
60	bf/7e7fa4	33535	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:01:16.543	4.5s	4s	121.4%	18.8 MB	2 GB	62.8 MB	12.4 KB
59	94/e0b46f	33496	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1025689_S01_L001)	COMPLETED	0	2025-04-17 17:01:16.244	6.6s	6s	105.9%	22.8 MB	2 GB	107.2 MB	12.3 KB
67	fc/ff60aa	33738	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:01:21.020	3.3s	2s	132.0%	22.5 MB	2 GB	36.8 MB	12.4 KB
63	6d/2f761a	33659	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1490961_S01_L001)	COMPLETED	0	2025-04-17 17:01:20.602	5.8s	4s	115.5%	28.5 MB	2 GB	85.6 MB	12.3 KB
61	b1/8b01ea	33577	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D0892467_S01_L001)	COMPLETED	0	2025-04-17 17:01:17.887	8.8s	8s	109.2%	20.8 MB	2 GB	152.8 MB	12.3 KB
62	f3/41370f	33617	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1742262_S01_L001)	COMPLETED	0	2025-04-17 17:01:20.444	6.6s	5s	119.7%	18.8 MB	2 GB	95.1 MB	12.3 KB
64	3e/289204	33699	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1507169_S01_L001)	COMPLETED	0	2025-04-17 17:01:20.856	6.5s	5s	103.6%	16.6 MB	2 GB	100.6 MB	12.3 KB
66	b3/724ec2	33293	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0281446_S01_L001)	COMPLETED	0	2025-04-17 17:01:11.320	17.4s	17s	97.9%	11.2 MB	16.9 MB	88.1 MB	39.7 MB
74	af/b223c3	33998	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D2453159_S01_L001)	COMPLETED	0	2025-04-17 17:01:27.049	3.8s	3s	127.3%	20.7 MB	2 GB	42.8 MB	12.4 KB
70	00/2d81e8	33889	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1088210_S01_L001)	COMPLETED	0	2025-04-17 17:01:26.452	4.6s	3s	129.5%	20.7 MB	2 GB	47.4 MB	12.3 KB
69	a4/83a412	33848	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D1786215_S01_L001)	COMPLETED	0	2025-04-17 17:01:24.296	8.3s	7s	108.8%	28.4 MB	2 GB	106.1 MB	12.4 KB
33	4a/b5639e	32327	NFCORE_BACTMAP:BACTMAP:FASTP (D1874688_S01_L001)	COMPLETED	0	2025-04-17 16:59:47.991	1m 45s	1m 42s	208.3%	1.2 GB	1.5 GB	186.7 MB	110.8 MB
72	17/2d30a0	33933	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0340971_S01_L001)	COMPLETED	0	2025-04-17 17:01:26.712	9.3s	8s	98.7%	9.2 MB	13.9 MB	37.4 MB	16.8 MB
71	bc/4550e8	33786	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0262590_S01_L001)	COMPLETED	0	2025-04-17 17:01:22.897	19.7s	19s	99.0%	10.7 MB	16.9 MB	92.2 MB	41.5 MB
82	c5/e98413	34278	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D0287766_S01_L001)	COMPLETED	0	2025-04-17 17:01:32.606	11.4s	10s	224.3%	198.4 MB	634.4 MB	216.7 MB	221.1 MB
77	0e/86d8a3	34108	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0717665_S01_L001)	COMPLETED	0	2025-04-17 17:01:28.770	16.9s	16s	98.8%	10.9 MB	16.9 MB	76.9 MB	34 MB
68	9d/5b60a8	33777	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0320058_S01_L001)	COMPLETED	0	2025-04-17 17:01:22.891	23.7s	22s	99.2%	10.8 MB	16.9 MB	109.3 MB	49.5 MB
81	eb/b3b358	34216	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0784258_S01_L001)	COMPLETED	0	2025-04-17 17:01:31.038	16.6s	15s	98.8%	10.5 MB	15.6 MB	71.5 MB	32.4 MB
86	39/75c456	34457	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:MASH_SKETCH (D2306204_S01_L001)	COMPLETED	0	2025-04-17 17:01:44.026	5.2s	4s	110.0%	12.9 MB	2 GB	49.9 MB	12.4 KB
75	42/6004be	34038	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0133463_S01_L001)	COMPLETED	0	2025-04-17 17:01:27.317	22.1s	21s	99.1%	13.7 MB	18.8 MB	98.3 MB	44 MB
85	3b/a758bc	34382	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D1130644_S01_L001)	COMPLETED	0	2025-04-17 17:01:36.028	16s	15s	98.8%	10.9 MB	16.9 MB	68.2 MB	30.7 MB
79	dc/848491	34153	NFCORE_BACTMAP:BACTMAP:SUB_SAMPLING:RASUSA (D0537729_S01_L001)	COMPLETED	0	2025-04-17 17:01:30.847	21.7s	20s	98.8%	11 MB	16.9 MB	96.7 MB	43.6 MB
