Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations Including Gaps	Cumulative Bases in Recombinations Including Gaps	Bases in Recombinations Excluding Gaps	Cumulative Bases in Recombinations Excluding Gaps	r/m	rho/theta	Genome Length	Bases in Clonal Frame
Reference	0	0	0	0	0	0	0	0	0.000000	0.000000	1641481	1641481
mysnps-D0110039_S01_L001	0	0	0	0	0	216200	0	168294	0.000000	0.000000	1486597	1277374
mysnps-D0133463_S01_L001	633	596	37	7	79082	164417	58132	118697	16.108109	0.189189	1442789	1342506
mysnps-D0262590_S01_L001	94	69	25	4	8346	203815	8341	159651	2.760000	0.160000	1465607	1278578
mysnps-D0281446_S01_L001	88	70	18	5	21321	162437	8418	116860	3.888889	0.277778	1477000	1333312
mysnps-D0287766_S01_L001	249	228	21	3	18425	157779	18376	113286	10.857142	0.142857	1475735	1340237
mysnps-D0305916_S01_L001	1075	1052	23	8	77237	180544	72487	135497	45.739132	0.347826	1474378	1370352
mysnps-D0320058_S01_L001	1088	1057	31	13	95889	198454	75860	139220	34.096775	0.419355	1433852	1334405
mysnps-D0331520_S01_L001	105	97	8	5	12542	224986	12334	176985	12.125000	0.625000	1467334	1257120
mysnps-D0340971_S01_L001	70	27	43	4	1849	113687	1711	58206	0.627907	0.093023	1257943	1168793
mysnps-D0372208_S01_L001	1602	1577	25	14	134212	221548	116667	174495	63.080002	0.560000	1480185	1370602
mysnps-D0465287_S01_L001	43	24	19	2	3817	200427	1357	147556	1.263158	0.105263	1420584	1238702
mysnps-D0537729_S01_L001	117	101	16	2	13648	221029	13491	168493	6.312500	0.125000	1449654	1241844
mysnps-D0570846_S01_L001	0	0	0	0	0	216200	0	168321	0.000000	0.000000	1486786	1277523
mysnps-D0595886_S01_L001	265	246	19	6	54189	192051	22989	141013	12.947369	0.315789	1458823	1309136
mysnps-D0599005_S01_L001	821	792	29	7	104452	165424	77246	119643	27.310345	0.241379	1462104	1358604
mysnps-D0717665_S01_L001	20	0	20	0	0	157436	0	115207	0.000000	0.000000	1454521	1313073
mysnps-D0717763_S01_L001	4	4	0	1	2369	114596	2000	71535	0.000000	0.000000	1430450	1324512
mysnps-D0784258_S01_L001	0	0	0	0	0	61929	0	19831	0.000000	0.000000	1356073	1297902
mysnps-D0892467_S01_L001	803	779	24	11	109651	187895	74609	136272	32.458332	0.458333	1473648	1370109
mysnps-D1025689_S01_L001	564	536	28	11	54952	187158	44110	142741	19.142857	0.392857	1475233	1336408
mysnps-D1088210_S01_L001	530	496	34	6	37598	188408	34335	132851	14.588235	0.176471	1369291	1226954
mysnps-D1130644_S01_L001	0	0	0	0	0	211217	0	162794	0.000000	0.000000	1474514	1272361
mysnps-D1130645_S01_L001	11	3	8	1	4	211221	4	161799	0.375000	0.125000	1472127	1270314
mysnps-D1212247_S01_L001	756	727	29	7	60476	170611	57031	124115	25.068966	0.241379	1411298	1308824
mysnps-D1251843_S01_L001	30	15	15	3	31164	202321	4708	154074	1.000000	0.200000	1482714	1293713
mysnps-D1490961_S01_L001	247	216	31	6	38460	178518	36507	129238	6.967742	0.193548	1395437	1264201
mysnps-D1507169_S01_L001	138	123	15	4	39650	176994	20572	134860	8.200000	0.266667	1485426	1340391
mysnps-D1742262_S01_L001	420	401	19	6	41571	185694	29707	141575	21.105263	0.315789	1465520	1313202
mysnps-D1786215_S01_L001	333	302	31	11	67472	193904	53341	154846	9.741936	0.354839	1488354	1348546
mysnps-D1816817_S01_L001	139	108	31	6	17603	123609	16549	81234	3.483871	0.193548	1440236	1338762
mysnps-D1874688_S01_L001	397	385	12	8	33667	192942	29054	148453	32.083332	0.666667	1487216	1332799
mysnps-D2306186_S01_L001	22	20	2	4	8698	209184	3437	158463	10.000000	2.000000	1481516	1282484
mysnps-D2306204_S01_L001	8	4	4	1	6	206892	6	157459	1.000000	0.250000	1483465	1284284
mysnps-D2453159_S01_L001	137	121	16	3	8775	147932	8750	103561	7.562500	0.187500	1476563	1339855
Node_1	82	74	8	2	7320	157436	7302	119034	9.250000	0.250000	1489572	1345399
Node_2	142	136	6	4	18319	173587	16332	132454	22.666666	0.666667	1489263	1344608
Node_3	5	3	2	1	1701	156913	1701	117769	1.500000	0.500000	1489295	1345451
Node_4	478	450	28	8	48873	156085	47361	118531	16.071428	0.285714	1491385	1385730
Node_5	759	736	23	9	76015	160309	61786	119215	32.000000	0.391304	1470340	1366149
Node_6	0	0	0	0	0	109273	0	70605	0.000000	0.000000	1473940	1369476
Node_7	1	0	1	0	0	109273	0	71526	0.000000	0.000000	1480704	1375749
Node_8	9	7	2	1	990	109273	990	73473	3.500000	0.500000	1492803	1388137
Node_9	66	62	4	2	5924	111838	5413	69140	15.500000	0.500000	1429548	1329403
Node_10	0	0	0	0	0	108283	0	72563	0.000000	0.000000	1492910	1388244
Node_11	3	0	3	0	0	108283	0	72564	0.000000	0.000000	1492935	1388260
Node_12	1314	1290	24	13	111158	215330	103397	169568	53.750000	0.541667	1477297	1372253
Node_13	53	33	20	2	18706	114596	6390	75870	1.650000	0.100000	1490181	1386275
Node_14	405	387	18	8	60725	140470	38569	98143	21.500000	0.444444	1482127	1376615
Node_15	0	0	0	0	0	108283	0	71440	0.000000	0.000000	1504683	1398233
Node_16	0	0	0	0	0	108283	0	71971	0.000000	0.000000	1507715	1401264
Node_17	3	0	3	0	0	108283	0	72936	0.000000	0.000000	1509818	1403363
Node_18	865	850	15	13	98320	206892	67367	157844	56.666668	0.866667	1484231	1344740
Node_19	3	3	0	1	1225	143524	1225	104003	0.000000	0.000000	1485997	1346167
Node_20	0	0	0	0	0	143524	0	105019	0.000000	0.000000	1487789	1347934
Node_21	12	9	3	2	1670	143524	1641	107571	3.000000	0.666667	1491812	1351948
Node_22	304	288	16	5	39379	211217	25845	163985	18.000000	0.312500	1478451	1289599
Node_23	0	0	0	0	0	196610	0	154240	0.000000	0.000000	1473628	1286026
Node_24	23	20	3	1	1294	196610	1289	156614	6.666667	0.333333	1486875	1297774
Node_25	85	73	12	2	6816	196610	6747	157023	6.083333	0.166667	1488137	1301713
Node_26	311	301	10	7	51010	216200	21883	168321	30.100000	0.700000	1486786	1300303
Node_27	659	632	27	12	55146	193416	52818	155134	23.407408	0.444444	1491567	1350625
Node_28	635	616	19	8	38076	143524	38066	108472	32.421051	0.421053	1495419	1389712
Node_29	0	0	0	0	0	108283	0	74061	0.000000	0.000000	1514978	1408465
Node_30	7	6	1	2	1411	108283	1411	74136	6.000000	2.000000	1516661	1410217
Node_31	0	0	0	0	0	108214	0	74100	0.000000	0.000000	1516710	1410266
Node_32	502	452	50	7	46448	108214	46445	74100	9.040000	0.140000	1516710	1455977
Node_33	18366	3534	14832	125	61929	61929	27818	27818	0.238269	0.008428	1516710	1516710
Node_34	0	0	0	0	0	0	0	0	0.000000	0.000000	1641481	1641481
