ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
mysnps-D0110039_S01_L001	1641481	1486597	134315	17121	344	0	20225
mysnps-D0133463_S01_L001	1641481	1442789	146079	16041	2128	0	50485
mysnps-D0262590_S01_L001	1641481	1465607	147118	16011	939	0	27817
mysnps-D0281446_S01_L001	1641481	1477000	145489	15950	2174	0	16818
mysnps-D0287766_S01_L001	1641481	1475735	148293	15685	2026	0	15427
mysnps-D0305916_S01_L001	1641481	1474378	147005	15934	1095	0	19003
mysnps-D0320058_S01_L001	1641481	1433852	147836	15965	2582	0	57211
mysnps-D0331520_S01_L001	1641481	1467334	145061	15119	1859	0	27227
mysnps-D0340971_S01_L001	1641481	1257943	152069	13784	3077	0	228392
mysnps-D0372208_S01_L001	1641481	1480185	130853	13377	1281	0	29162
mysnps-D0465287_S01_L001	1641481	1420584	149817	13631	1231	0	69849
mysnps-D0537729_S01_L001	1641481	1449654	147738	13192	3608	0	40481
mysnps-D0570846_S01_L001	1641481	1486786	134126	13591	344	0	20225
mysnps-D0595886_S01_L001	1641481	1458823	141125	13537	1186	0	40347
mysnps-D0599005_S01_L001	1641481	1462104	148336	13492	1211	0	29830
mysnps-D0717665_S01_L001	1641481	1454521	143145	13529	2221	0	41594
mysnps-D0717763_S01_L001	1641481	1430450	148478	13618	5732	0	56821
mysnps-D0784258_S01_L001	1641481	1356073	151790	13089	2652	0	130966
mysnps-D0892467_S01_L001	1641481	1473648	143612	13408	1070	0	23151
mysnps-D1025689_S01_L001	1641481	1475233	140849	13301	1168	0	24231
mysnps-D1088210_S01_L001	1641481	1369291	149951	13148	2280	0	119959
mysnps-D1130644_S01_L001	1641481	1474514	149576	12921	2930	0	14461
mysnps-D1130645_S01_L001	1641481	1472127	149972	12856	3468	0	15914
mysnps-D1212247_S01_L001	1641481	1411298	150129	13070	3311	0	76743
mysnps-D1251843_S01_L001	1641481	1482714	147321	12986	241	0	11205
mysnps-D1490961_S01_L001	1641481	1395437	149066	13089	1525	0	95453
mysnps-D1507169_S01_L001	1641481	1485426	146991	12917	825	0	8239
mysnps-D1742262_S01_L001	1641481	1465520	147591	13137	1361	0	27009
mysnps-D1786215_S01_L001	1641481	1488354	145974	12953	245	0	6908
mysnps-D1816817_S01_L001	1641481	1440236	148069	13034	1419	0	51757
mysnps-D1874688_S01_L001	1641481	1487216	147001	12870	311	0	6953
mysnps-D2306186_S01_L001	1641481	1481516	149576	13084	319	0	10070
mysnps-D2306204_S01_L001	1641481	1483465	149453	13083	273	0	8290
mysnps-D2453159_S01_L001	1641481	1476563	148733	12832	2367	0	13818
Reference	1641481	1641481	0	0	0	0	0
