Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
D0287766_S01_L001	0	0	0	0	87641	0.000000	0.000000	1659302	1573269
D0281446_S01_L001	0	0	0	0	41258	0.000000	0.000000	1599323	1559237
D0262590_S01_L001	0	0	0	0	108254	0.000000	0.000000	1492307	1408998
D0320058_S01_L001	1106	1087	19	9	119086	57.210526	0.473684	1317651	1300661
D0133463_S01_L001	697	684	13	11	76044	52.615383	0.846154	1437753	1410903
D1130644_S01_L001	0	0	0	0	113210	0.000000	0.000000	1631343	1537993
D1130645_S01_L001	0	0	0	0	113210	0.000000	0.000000	1618572	1526456
D2306186_S01_L001	0	0	0	0	127746	0.000000	0.000000	1638029	1525362
D0331520_S01_L001	920	905	15	10	130103	60.333332	0.666667	1496233	1451997
D0465287_S01_L001	23	20	3	1	104087	6.666667	0.333333	1473876	1396426
D1251843_S01_L001	245	222	23	5	112439	9.652174	0.217391	1598944	1508609
D0305916_S01_L001	0	0	0	0	102601	0.000000	0.000000	1616158	1530434
D2453159_S01_L001	0	0	0	0	69408	0.000000	0.000000	1640898	1572001
D0372208_S01_L001	2533	2507	26	15	207398	96.423080	0.576923	1581874	1522184
D0599005_S01_L001	628	609	19	10	81888	32.052631	0.526316	1578507	1546574
D2306204_S01_L001	0	0	0	0	127746	0.000000	0.000000	1640914	1527854
D1490961_S01_L001	0	0	0	0	98879	0.000000	0.000000	1386094	1319268
D0595886_S01_L001	0	0	0	0	74498	0.000000	0.000000	1530757	1458601
D1742262_S01_L001	1120	1100	20	10	109968	55.000000	0.500000	1565041	1536170
D1025689_S01_L001	780	743	37	7	134682	20.081081	0.189189	1592123	1510384
D1507169_S01_L001	351	334	17	5	64784	19.647058	0.294118	1600161	1561609
D1786215_S01_L001	296	277	19	8	87075	14.578947	0.421053	1647242	1613434
D0892467_S01_L001	858	840	18	9	97719	46.666668	0.500000	1582175	1549325
D1874688_S01_L001	630	619	11	7	94662	56.272728	0.636364	1640113	1565692
D0570846_S01_L001	0	0	0	0	117365	0.000000	0.000000	1636249	1533152
D0110039_S01_L001	0	0	0	0	117365	0.000000	0.000000	1636250	1533153
Contig_1_869.128_Circ|Contig_2_24.3938|Contig_3_24.3428|Contig_4_30.3304|Contig_5_86.1609|Contig_...	0	0	0	0	87641	0.000000	0.000000	1689317	1601660
internal_36	379	352	27	6	87641	13.037037	0.222222	1689317	1619894
internal_35	125	113	12	3	69408	9.416667	0.250000	1689317	1623995
internal_34	364	354	10	9	65308	35.400002	0.900000	1689317	1636146
internal_33	188	172	16	5	53158	10.750000	0.312500	1689317	1652623
internal_32	43	30	13	3	36684	2.307692	0.230769	1689317	1654414
internal_31	31	20	11	2	34894	1.818182	0.181818	1689317	1654478
internal_30	143	134	9	3	34831	14.888889	0.333333	1689317	1656344
internal_29	138	127	11	7	32966	11.545455	0.636364	1689317	1689317
internal_40	396	388	8	4	117365	48.500000	0.500000	1636253	1551652
internal_42	325	310	15	5	113210	20.666666	0.333333	1637367	1549185
internal_44	74	56	18	4	108254	3.111111	0.222222	1635836	1547602
internal_43	14	0	14	0	102539	0.000000	0.000000	1638155	1549788
internal_41	50	46	4	2	102539	11.500000	0.500000	1644477	1559711
internal_39	754	723	31	13	98870	23.322580	0.419355	1645571	1611677
internal_48	1170	1154	16	12	127746	72.125000	0.750000	1642089	1554097
internal_47	523	517	6	4	102601	86.166664	0.666667	1644837	1610935
internal_49	319	291	28	7	98879	10.392858	0.250000	1601934	1569572
internal_46	14	0	14	0	47983	0.000000	0.000000	1649653	1615751
internal_45	4	0	4	0	47983	0.000000	0.000000	1651121	1617219
internal_38	708	680	28	6	47983	24.285715	0.214286	1653487	1641168
internal_28	458	433	25	8	74498	17.320000	0.320000	1644000	1602756
internal_52	78	61	17	2	41258	3.588235	0.117647	1644574	1605958
internal_51	22	17	5	1	38626	3.400000	0.200000	1646840	1614317
internal_50	238	219	19	4	32533	11.526316	0.210526	1647029	1634710
internal_37	167	134	33	4	12315	4.060606	0.121212	1653888	1653888
internal_ROOT	0	0	0	0	0	0.000000	0.000000	1689317	1689317
