Assembly_name	Original_file_name	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
D0110039_S01_L001	D0110039_S01_L001.fasta	NA	257	257	98.85	0.00
D0340971_S01_L001	D0340971_S01_L001.fasta	NA	237	237	91.15	0.00
reference_genome	reference_genome.fna	NA	257	257	98.85	0.00
