assembly_id	5-FTHF_cyc-lig	Actin	Adenylsucc_synt	ADK	ALAD	Amidase	Amidase_3	Asparaginase	ATP-synt	ATP-synt_A	ATP-synt_C	ATP-synt_DE_N	ATPase_gene1	Bactofilin	Bac_DNA_binding	Bac_export_1	Bac_export_3	Bax1-I	Chorismate_synt	CinA	CoaE	Colicin_V	COX1	Cpn10	Cpn60_TCP1	CRCB	CstA	CTP_transf_1	Cytochrom_C1	DAGK_prokar	DAHP_synth_1	DAHP_synth_2	DapB_C	DAP_epimerase	DHBP_synthase	DHquinase_II	DHQ_synthase	DMRL_synthase	DNA_processg_A	DsbD	DUF2018	DUF2603	DUF3972	DUF4006	DUF4149	DUF448	DUF465	DUF493	DUF5051	DUF507	EF_TS	EI24	eIF-1a	Enolase_C	Exonuc_VII_L	Exonuc_VII_S	FabA	FA_synthesis	FbpA	FBPase	Ferrochelatase	FHIPEP	FixO	FixQ	FixS	FlaG	FlgH	FlgI	FlgM	FliE	FliH	FliJ	FliL	FliM	FliP	FliS	FolB	F_bP_aldolase	G3P_acyltransf	GatB_N	GcpE	Gln-synt_C	Glu-tRNAGln	GrpE	GSP_synth	HD_2	HD_3	HEM4	HobA	HP0268	HPPK	HSP90	HupF_HypC	HyaE	HycI	HypA	HypD	ILVD_EDD	IPPT	IPT	Iso_dh	KH_4	LacAB_rpiB	LGT	Lip_A_acyltrans	LolA	LptE	LpxB	LpxC	LpxK	Lum_binding	LuxS	LYTB	Maf	MerR_2	Methyltransf_5	Methyltrans_RNA	MlaE	MnmE_helical	MoaC	MoaE	Mqo	MreC	MurJ	NAD_kinase	NDK	NIF3	NifU_N	NusG	OMPdecase	OSCP	Oxidored_q3	Oxidored_q4	Pan_kinase	PDH	PdxA	PdxJ	Peptidase_A8	Peptidase_M17	Peptidase_M22	Peptidase_M3	Peptidase_M99	Peptidase_U32	Pept_tRNA_hydro	Pep_deformylase	PGBA_N	PGI	PGK	PgpA	PhnA	PHO4	PMSR	Porphobil_deam	PRAI	Prenyltransf	Proteasome	Pro_CA	Pro_isomerase	PseudoU_synth_1	PTPS	Put_Phosphatase	Pyrophosphatase	QueH	Queuosine_synth	RBFA	Ribonuclease_P	Ribonuc_red_lgC	Ribonuc_red_sm	Ribosomal_L1	Ribosomal_L13	Ribosomal_L14	Ribosomal_L16	Ribosomal_L17	Ribosomal_L18p	Ribosomal_L19	Ribosomal_L20	Ribosomal_L21p	Ribosomal_L22	Ribosomal_L23	ribosomal_L24	Ribosomal_L27	Ribosomal_L27A	Ribosomal_L28	Ribosomal_L29	Ribosomal_L3	Ribosomal_L31	Ribosomal_L32p	Ribosomal_L33	Ribosomal_L34	Ribosomal_L35p	Ribosomal_L36	Ribosomal_L4	Ribosomal_L6	Ribosomal_L9_C	Ribosomal_S10	Ribosomal_S11	Ribosomal_S13	Ribosomal_S14	Ribosomal_S15	Ribosomal_S16	Ribosomal_S17	Ribosomal_S19	Ribosomal_S2	Ribosomal_S20p	Ribosomal_S21	Ribosomal_S6	Ribosomal_S7	Ribosomal_S8	Ribosomal_S9	Ribosom_S12_S23	Ribul_P_3_epim	RNase_HII	RNA_pol_L	RNA_pol_Rpb6	RRF	RsfS	RuvC	RuvX	Sacchrp_dh_C	Sdh_cyt	SecE	SecG	SecY	SelA	SelR	SHMT	SmpB	SPOUT_MTase	Sua5_yciO_yrdC	SurE	TAL_FSA	TatC	TatD_DNase	TerB	TGT	Thy1	TP_methylase	Transcrip_reg	tRNA-synt_1d	tRNA-synt_2c	tRNA-synt_2e	tRNA_m1G_MT	tRNA_synt_2f	TruD	Trypsin	TsaE	UbiA	UbiD	UPF0054	UPF0093	UPF0102	UPF0114	URO-D	Virul_fac_BrkB	YajC	YbaB_DNA_bd	YceG	YgbB	YGGT	YidD
D0110039_S01_L001	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
D0340971_S01_L001	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1
reference_genome	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
